asset_id,utm_link
tt_w31_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=tiktok&utm_medium=organic&utm_campaign=icp_installateur&utm_content=tt_w31_install_01
tt_w31_install_02,https://zzpackage.flexgrafik.nl/wizard/?utm_source=tiktok&utm_medium=organic&utm_campaign=icp_installateur&utm_content=tt_w31_install_02
tt_w31_install_03,https://zzpackage.flexgrafik.nl/wizard/?utm_source=tiktok&utm_medium=organic&utm_campaign=icp_installateur&utm_content=tt_w31_install_03
fb_w31_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=facebook&utm_medium=organic&utm_campaign=icp_installateur&utm_content=fb_w31_install_01
blog_w31_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=blog&utm_medium=organic&utm_campaign=icp_installateur&utm_content=blog_w31_install_01
da_w31_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=design_agent&utm_medium=organic&utm_campaign=icp_installateur&utm_content=da_w31_install_01
wa_w31_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=whatsapp&utm_medium=organic&utm_campaign=icp_installateur&utm_content=wa_w31_install_01
widget_w31_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=widget&utm_medium=organic&utm_campaign=icp_installateur&utm_content=widget_w31_install_01
meta_boost_w31_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=meta&utm_medium=paid&utm_campaign=icp_installateur&utm_content=meta_boost_w31_01
tt_w32_install_01,https://zzpackage.flexgrafik.nl/wizard/?utm_source=tiktok&utm_medium=organic&utm_campaign=icp_installateur&utm_content=tt_w32_install_01
